|   ID    |        DATE         |  PROBLEM  |  RESULT   | TIME  |  MEM   | LNG |
| 5293913 | 2011-06-25 12:24:52 |     NY10D |       TLE | -1.00 |   2812 | C++ |
| 5293904 | 2011-06-25 12:23:20 |     NY10D |        CE |  0.00 |      0 | C++ |
| 5293896 | 2011-06-25 12:21:51 |     NY10D |        CE |  0.00 |      0 | C++ |
| 5293890 | 2011-06-25 12:20:28 |     NY10D |        WA |  0.02 |   2816 | C++ |
| 5293876 | 2011-06-25 12:16:23 |     NY10D |        CE |  0.00 |      0 | C++ |
| 5293859 | 2011-06-25 12:12:15 |     NY10D |        RE |  0.03 |   3068 | C++ |
| 5293851 | 2011-06-25 12:09:14 |     NY10D |        RE |  0.03 |   3072 | C++ |
| 5293479 | 2011-06-25 10:23:45 |     CT14E |        AC |  0.00 |   2716 | C++ |
| 5293475 | 2011-06-25 10:19:52 |     CT14E |       TLE | -1.00 |   2708 | C++ |
| 5293468 | 2011-06-25 10:17:22 |     CT14E |       TLE | -1.00 |   2708 | C++ |
| 5293402 | 2011-06-25 09:42:58 |     CT14E |       TLE | -1.00 |   2712 | C++ |
| 5293396 | 2011-06-25 09:40:26 |     CT14E |       TLE | -1.00 |   2712 | C++ |
| 5293357 | 2011-06-25 09:19:20 |     CT14E |       TLE | -1.00 |   3268 | C++ |
| 5291682 | 2011-06-24 20:25:52 |   ACPC10C |        AC |  0.00 |   2808 | C++ |
| 5291142 | 2011-06-24 17:53:12 |   ACPC10C |        WA |  0.02 |   2812 | C++ |
| 5291136 | 2011-06-24 17:51:48 |   ACPC10C |        WA |  0.02 |   2808 | C++ |
| 5291124 | 2011-06-24 17:49:27 |   ACPC10C |        WA |  0.02 |   2808 | C++ |
| 5291072 | 2011-06-24 17:32:56 |   ACPC10C |        WA |  0.02 |   2808 | C++ |
| 5291066 | 2011-06-24 17:31:50 |   ACPC10C |       TLE | -1.00 |   2816 | C++ |
| 5285223 | 2011-06-23 10:55:03 |   MAIN8_C |        AC |  0.16 |   3124 | C++ |
| 5285218 | 2011-06-23 10:52:49 |   MAIN8_C |        WA |  1.21 |   3124 | C++ |
| 5285176 | 2011-06-23 10:41:47 |  BACKPACK |        AC |  0.00 |   3668 | C++ |
| 5285167 | 2011-06-23 10:39:22 |  BACKPACK |        WA |  0.07 |   3668 | C++ |
| 5272947 | 2011-06-20 14:35:02 |     LONER |        WA |  0.03 |   3064 | C++ |
| 5272923 | 2011-06-20 14:25:24 |     LONER |        WA |  0.03 |   3068 | C++ |
| 5272910 | 2011-06-20 14:19:16 |     LONER |        WA |  0.03 |   3064 | C++ |
| 5272906 | 2011-06-20 14:17:48 |     LONER |        WA |  0.03 |   3068 | C++ |
| 5272899 | 2011-06-20 14:15:47 |     LONER |        WA |  0.03 |   3064 | C++ |
| 5272897 | 2011-06-20 14:14:08 |     LONER |        WA |  0.03 |   3064 | C++ |
| 5272895 | 2011-06-20 14:13:46 |     LONER |        CE |  0.00 |      0 | PYT |
| 5272837 | 2011-06-20 13:49:04 |    SILVER |        AC |  0.00 |   7696 | PYT |
